customer_id,email,first_name,last_name,city,state,registration_date,customer_segment
CUST-000001,johnsonjoshua@example.org,Donald,Garcia,New Roberttown,CO,2024-07-31,Basic
CUST-000002,hoffmanjennifer@example.net,Amy,Robinson,Lisatown,WV,2025-10-04,Premium
CUST-000003,jpeterson@example.org,Susan,Rogers,South Colinstad,PA,2024-09-03,Premium
CUST-000004,blairamanda@example.com,Christian,Carter,Barbaraland,AZ,2025-06-20,Basic
CUST-000005,tracie31@example.com,Joshua,Reid,Franciscostad,IL,2025-06-26,Standard
CUST-000006,lynchgeorge@example.net,John,Ford,Veronicaside,IN,2025-07-07,Premium
CUST-000007,perezantonio@example.com,Richard,Jones,Jasonfort,MO,2025-11-30,Premium
CUST-000008,ithomas@example.org,Julie,Ryan,Hurstfurt,MN,2024-08-01,Premium
CUST-000009,williamdavis@example.org,Michelle,Hernandez,Port Erin,PA,2024-04-09,Basic
CUST-000010,dcarlson@example.net,John,Tran,Lake Jenniferside,WV,2024-09-05,Premium
CUST-000011,daniel62@example.com,Aaron,Bowen,Teresaburgh,NY,2025-12-21,Basic
CUST-000012,meagan89@example.org,Eric,Farmer,New Mariotown,DE,2026-01-02,Basic
CUST-000013,john39@example.org,Christopher,Tucker,Port Amandaberg,DC,2025-06-19,Basic
CUST-000014,josephbrennan@example.com,Tamara,Hickman,Lake Larry,TN,2025-06-12,Premium
CUST-000015,clam@example.org,John,Brown,New Angelashire,IN,2024-02-28,Basic
CUST-000016,perezrebecca@example.com,Chad,Young,Lewisberg,VA,2026-01-06,Standard
CUST-000017,esanchez@example.com,James,Davis,Gomezchester,NH,2025-11-15,Premium
CUST-000018,nuneztracey@example.org,Bruce,Chandler,East Jamesside,NV,2024-06-04,Premium
CUST-000019,joshuawright@example.org,Scott,Callahan,North Deniseside,MP,2024-03-04,Premium
CUST-000020,housemelinda@example.org,Richard,Olson,Barreraburgh,MS,2024-02-24,Premium
CUST-000021,ybaker@example.com,Justin,Horton,Mooreport,IL,2026-01-31,Premium
CUST-000022,adkinsbrian@example.net,Thomas,Calhoun,North Susan,CO,2025-11-06,Basic
CUST-000023,larsonemma@example.org,Richard,David,New Brooke,RI,2024-04-22,Basic
CUST-000024,sarah35@example.org,Joseph,Anderson,Stephenland,AL,2025-01-23,Premium
